#,D_Ext,Dint_,Long,Cima,Base,Lib,Rt
1,11,3.9,0.2,0,0.2,15.1,342000
2,4.5,3.958,1.8,0.2,2,12.6,342000
3,4.5,3.958,133.45,2,135.45,12.6,342000
4,4.5,3.958,2.19,135.45,137.64,12.6,342000
5,4.5,3.812,1.39,137.64,139.03,12.6,342000
6,4.5,3.958,86.5,139.03,225.53,12.6,342000
7,4.5,2.992,0.39,225.53,225.92,9.2,246000
8,3.5,2.992,3340.33,225.92,3566.25,9.2,246000
9,3.5,2.992,9.4,3566.25,3575.65,9.2,246000
10,5.25,-,0.42,3575.65,3576.07,73.54,246000
11,5.38,-,0.19,3576.07,3576.26,73.54,246000
12,5.38,-,5.77,3576.26,3582.03,73.54,246000
13,5.38,-,5.77,3582.03,3587.8,73.54,246000
14,5.38,-,5.77,3587.8,3593.57,73.54,246000
15,5.38,-,1.67,3593.57,3595.24,73.54,246000
16,5.13,-,2.1,3595.24,3597.34,73.54,246000
17,5.13,-,2.1,3597.34,3599.44,73.54,246000
18,5.62,-,10.32,3599.44,3609.76,9.2,246000
19,4.5,-,1.25,3609.76,3611.01,9.2,246000
20,6.5,-,2.05,3611.01,3613.06,9.2,246000
21,3.5,2.992,0.38,3613.06,3613.44,9.3,246000
22,3.5,2.992,101.56,3613.44,3715,9.2,246000
23,4.42,-,2.08,3715,3717.08,9.2,246000
